"DATE","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather"
"2022-01-01T23:59:00","1728","59","64","82","29.79","27.60","61","11.6","0","26.9","1","73","54","180","29","0.22","0","0.0","190","22"
"2022-01-02T23:59:00","1729","54","57","90","29.77","27.53","56","7.2","0","20.0","8","64","50","200","31","0.74","0","0.0","340","21"
"2022-01-03T23:59:00","1730","28","38","79","30.03","27.70","32","20.8","0","1.0","27","50","26","320","59","0.63","T","T","330","46"
"2022-01-04T23:59:00","1731","23","32","74","30.32","27.99","28","5.6","0","-4.9","33","43","21","350","21","0.00","0","0.0","150","14"
"2022-01-05T23:59:00","1732","30","45","63","29.98","27.71","37","4.7","0","8.1","20","56","33","200","20","0.00","0","0.0","200","15"
"2022-01-06T23:59:00","1732","31","39","77","29.89","27.62","36","8.1","0","2.2","26","48","29","340","37","0.01","0","T","340","28"
"2022-01-07T23:59:00","1733","15","25","67","30.18","27.81","22","10.6","0","-11.8","40","29","21","360","28","0.00","0","0.0","330","22"
"2022-01-08T23:59:00","1734","15","30","59","30.50","28.12","25","6.2","0","-6.8","35","41","19","110","21","0.00","0","0.0","160","15"
"2022-01-09T23:59:00","1735","43","45","91","30.28","28.01","44","10.9","0","8.2","20","55","35","330","40","0.40","0","0.0","330","29"
"2022-01-10T23:59:00","1736","11","36","37","30.31","27.99","27","17.1","0","-0.7","29","42","29","340","40","0.00","0","0.0","340","30"
"2022-01-11T23:59:00","1737","9","34","42","30.44","28.09","25","6.1","0","-2.7","31","46","22","330","28","0.00","0","0.0","340","18"
"2022-01-12T23:59:00","1738","21","37","62","30.27","27.97","29","1.8","0","0.3","28","53","20","180","12","0.00","0","0.0","180","9"
"2022-01-13T23:59:00","1739","28","39","71","29.93","27.66","34","2.7","0","2.3","26","51","26","330","19","T","0","0.0","350","13"
"2022-01-14T23:59:00","1740","28","39","64","29.93","27.63","35","10.1","0","2.2","26","46","31","320","28","0.00","0","0.0","330","22"
"2022-01-15T23:59:00","1741","27","33","77","30.10","27.78","31","5.5","0","-3.8","32","38","27","140","14","T","0","T","160","12"
"2022-01-16T23:59:00","1742","","28","93","","27.46","","3.2","0","-8.8","37","33","22","230","16","1.25","4","10.4","230","13"
"2022-01-17T23:59:00","1743","21","30","71","29.70","27.35","26","13.4","0","-6.8","35","33","26","330","38","T","8","T","340","28"
"2022-01-18T23:59:00","1744","21","32","70","30.14","27.78","27","6.6","0","-4.9","33","42","22","340","24","0.00","7","0.0","340","17"
"2022-01-19T23:59:00","1745","27","37","64","30.15","27.84","34","5.9","0","0.1","28","51","23","190","24","0.00","5","0.0","190","18"
"2022-01-20T23:59:00","1746","30","35","80","30.10","27.79","34","10.0","0","-2.0","30","42","28","340","26","0.04","3","0.0","340","20"
"2022-01-21T23:59:00","1747","23","29","81","30.27","27.93","27","6.2","0","-8.0","36","32","26","350","19","T","1","T","350","14"
"2022-01-22T23:59:00","1748","16","35","58","30.25","27.92","26","8.1","0","-2.1","30","44","25","340","17","0.00","1","0.0","340","13"
"2022-01-23T23:59:00","1749","19","34","55","29.97","27.69","28","7.5","0","-3.1","31","47","21","340","23","0.00","T","0.0","340","18"
"2022-01-24T23:59:00","1750","24","41","56","29.87","27.58","33","4.3","0","3.8","24","52","29","340","18","0.00","T","0.0","340","14"
"2022-01-25T23:59:00","1751","30","43","66","29.97","27.66","36","8.2","0","5.7","22","54","31","330","24","0.00","0","0.0","340","17"
"2022-01-26T23:59:00","1752","17","33","56","30.24","27.90","28","11.1","0","-4.4","32","41","25","340","29","0.00","0","0.0","340","23"
"2022-01-27T23:59:00","1753","18","33","61","30.30","27.97","27","3.1","0","-4.5","32","46","20","140","13","0.00","0","0.0","160","9"
"2022-01-28T23:59:00","1754","24","36","72","30.00","27.73","29","8.6","0","-1.6","29","45","27","360","29","0.03","0","0.1","330","22"
"2022-01-29T23:59:00","1755","6","22","51","30.03","27.68","18","14.1","0","-15.7","43","27","17","330","42","0.01","T","0.1","340","30"
"2022-01-30T23:59:00","1756","12","30","56","30.03","27.70","22","3.6","0","-7.8","35","47","12","170","20","0.00","0","0.0","180","16"
"2022-01-31T23:59:00","1757","20","38","57","30.12","27.79","30","1.3","0","0.1","27","53","23","330","9","0.00","0","0.0","170","8"
"2022-02-01T23:59:00","1758","23","37","65","30.33","27.99","31","4.4","0","-1.0","28","51","23","120","20","0.00","0","0.0","130","14"
"2022-02-02T23:59:00","1759","28","35","75","30.31","28.00","32","4.0","0","-3.2","30","43","27","150","15","0.10","0","0.0","150","12"
"2022-02-03T23:59:00","1800","41","46","83","30.10","27.84","44","4.3","0","7.7","19","55","37","140","17","2.38","0","0.0","150","14"
"2022-02-04T23:59:00","1801","43","45","88","29.99","27.71","45","13.5","0","6.6","20","59","30","350","35","0.56","0","0.0","330","28"
"2022-02-05T23:59:00","1802","16","30","59","30.32","27.96","25","11.5","0","-8.6","35","37","23","340","38","T","0","T","340","28"
"2022-02-06T23:59:00","1803","16","31","59","30.38","28.04","25","3.9","0","-7.7","34","42","20","150","17","0.00","0","0.0","150","12"
"2022-02-07T23:59:00","1804","22","39","55","30.16","27.86","32","7.7","0","0.1","26","47","30","330","25","0.00","0","0.0","350","18"
"2022-02-08T23:59:00","1805","22","39","55","30.13","27.81","31","7.6","0","-0.1","26","49","28","330","27","0.00","0","0.0","340","21"
"2022-02-09T23:59:00","1806","23","40","59","30.03","27.75","32","1.5","0","0.8","25","58","22","270","16","0.00","0","0.0","290","12"
"2022-02-10T23:59:00","1807","22","42","51","30.01","27.73","34","5.0","0","2.6","23","59","25","250","32","0.00","0","0.0","290","22"
"2022-02-11T23:59:00","1808","27","45","55","30.01","27.73","37","5.5","0","5.4","20","63","27","230","30","0.00","0","0.0","200","22"
"2022-02-12T23:59:00","1809","31","48","59","30.04","27.76","39","7.5","0","8.2","17","62","33","330","27","0.00","0","0.0","330","20"
"2022-02-13T23:59:00","1810","20","34","58","30.06","27.76","29","13.8","0","-5.9","31","40","28","330","35","T","0","T","340","28"
"2022-02-14T23:59:00","1811","15","35","47","30.23","27.88","27","7.6","0","-5.1","30","47","23","020","24","0.00","0","0.0","020","18"
"2022-02-15T23:59:00","1812","20","36","57","30.51","28.15","29","3.5","0","-4.3","29","51","20","160","17","0.00","0","0.0","120","12"
"2022-02-16T23:59:00","1813","34","40","76","30.48","28.17","38","5.0","0","-0.5","25","53","27","160","17","0.01","0","0.0","180","15"
"2022-02-17T23:59:00","1814","52","55","92","30.07","27.86","53","8.3","0","14.3","10","61","48","180","36","0.75","0","0.0","180","28"
"2022-02-18T23:59:00","1815","33","44","76","29.99","27.68","37","13.2","0","3.1","21","60","28","340","36","0.04","0","0.0","340","29"
"2022-02-19T23:59:00","1816","17","39","50","30.24","27.92","29","11.3","0","-2.1","26","51","26","340","32","0.00","0","0.0","340","23"
"2022-02-20T23:59:00","1817","15","38","45","30.38","28.05","29","5.1","0","-3.3","27","52","23","180","19","0.00","0","0.0","190","14"
"2022-02-21T23:59:00","1818","35","43","71","30.31","28.01","40","7.3","0","1.4","22","59","27","220","28","0.00","0","0.0","220","20"
"2022-02-22T23:59:00","1819","52","58","84","30.20","27.94","54","11.1","0","16.2","7","62","53","170","30","0.01","0","0.0","210","21"
"2022-02-23T23:59:00","1820","53","61","82","30.16","27.91","55","3.8","0","19.0","4","69","53","330","23","0.84","0","0.0","330","20"
"2022-02-24T23:59:00","1821","52","63","86","30.13","27.90","54","6.5","0","20.8","2","73","52","150","20","0.01","0","0.0","330","16"
"2022-02-25T23:59:00","1822","44","49","78","30.16","27.89","47","13.2","0","6.6","16","60","37","330","36","0.31","0","0.0","330","26"
"2022-02-26T23:59:00","1823","32","43","73","30.34","28.03","37","9.2","0","0.3","22","50","35","340","25","T","0","0.0","340","17"
"2022-02-27T23:59:00","1824","36","41","83","30.18","27.89","39","5.7","0","-1.9","24","45","36","340","23","0.74","0","0.0","340","18"
"2022-02-28T23:59:00","1824","23","45","49","30.17","27.87","35","4.3","0","1.9","20","58","32","360","20","0.00","0","0.0","330","14"
"2022-03-01T23:59:00","1825","27","47","54","30.12","27.84","38","3.3","0","3.8","18","65","29","340","14","0.00","0","0.0","330","10"
"2022-03-02T23:59:00","1826","31","51","53","30.10","27.83","41","3.0","0","7.6","14","70","31","350","27","0.00","0","0.0","330","20"
"2022-03-03T23:59:00","1827","32","55","47","30.11","27.84","45","6.5","0","11.4","10","75","35","350","24","0.00","0","0.0","340","22"
"2022-03-04T23:59:00","1828","36","51","60","30.32","28.02","44","5.0","0","7.2","14","64","37","140","19","0.00","0","0.0","140","13"
"2022-03-05T23:59:00","1829","40","54","61","30.33","28.05","47","7.1","0","9.9","11","70","38","200","27","0.00","0","0.0","200","20"
"2022-03-06T23:59:00","1830","52","64","67","30.20","27.96","57","11.0","0","19.7","1","73","54","190","33","0.00","0","0.0","200","24"
"2022-03-07T23:59:00","1831","52","58","77","29.99","27.77","55","10.4","0","13.4","7","67","49","200","34","0.23","0","0.0","200","25"
"2022-03-08T23:59:00","1832","40","51","77","30.03","27.78","44","8.5","0","6.2","14","60","41","340","27","0.87","0","0.0","340","20"
"2022-03-09T23:59:00","1832","43","49","85","29.89","27.63","45","9.2","0","4.0","16","53","45","330","29","0.75","0","0.0","340","24"
"2022-03-10T23:59:00","1833","39","45","80","30.04","27.76","42","5.2","0","-0.3","20","47","43","200","14","0.00","0","0.0","170","10"
