"DATE","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather"
"2008-01-01T23:59:00","1728","18","33","58","30.07","27.76","28","11.0","0","-4.1","32","42","23","330","32","T","0","T","330","24"
"2008-01-02T23:59:00","1729","9","19","70","30.37","27.96","15","18.2","0","-18.0","46","23","15","340","43","T","1","0.7","340","32"
"2008-01-03T23:59:00","1730","6","22","56","30.70","28.28","17","11.1","0","-15.0","43","32","11","340","28","0.00","T","0.0","340","23"
"2008-01-04T23:59:00","1731","11","28","55","30.61","28.24","22","3.5","0","-8.9","37","43","12","150","16","0.00","0","0.0","140","13"
"2008-01-05T23:59:00","1732","23","40","56","30.38","28.07","32","5.9","0","3.1","25","54","25","190","17","0.00","0","0.0","160","14"
"2008-01-06T23:59:00","1732","39","48","77","30.29","27.99","43","3.0","0","11.2","17","63","33","180","13","0.02","0","0.0","170","10"
"2008-01-07T23:59:00","1733","42","49","80","30.32","28.02","45","3.6","0","12.2","16","67","31","170","15","0.00","0","0.0","170","13"
"2008-01-08T23:59:00","1734","51","56","84","30.18","27.94","53","8.6","0","19.2","9","61","51","180","26","0.01","0","0.0","190","22"
"2008-01-09T23:59:00","1735","42","49","67","30.05","27.79","48","10.3","0","12.2","16","62","36","200","31","T","0","0.0","200","25"
"2008-01-10T23:59:00","1736","43","45","96","30.01","27.76","44","6.1","0","8.3","20","54","35","130","22","0.64","0","0.0","180","16"
"2008-01-11T23:59:00","1737","43","49","77","29.78","27.52","46","11.9","0","12.3","16","58","39","330","24","0.39","0","0.0","330","21"
"2008-01-12T23:59:00","1738","32","42","74","29.99","27.68","36","3.7","0","5.3","23","53","31","330","17","0.00","0","0.0","340","14"
"2008-01-13T23:59:00","1739","35","39","90","29.98","27.70","36","2.2","0","2.3","26","47","30","150","14","0.02","0","0.0","160","12"
"2008-01-14T23:59:00","1740","21","37","62","30.02","27.71","29","10.4","0","0.2","28","46","28","330","29","0.00","0","0.0","330","23"
"2008-01-15T23:59:00","1741","15","30","58","30.09","27.75","24","10.5","0","-6.8","35","36","23","360","31","0.00","0","0.0","350","23"
"2008-01-16T23:59:00","1742","16","30","61","30.26","27.91","25","5.3","0","-6.8","35","40","20","180","21","0.08","0","1.5","180","15"
"2008-01-17T23:59:00","1743","31","32","96","30.05","27.76","32","3.4","0","-4.8","33","37","27","320","15","0.60","3","1.5","330","12"
"2008-01-18T23:59:00","1744","29","44","66","30.04","27.75","36","7.7","0","7.1","21","51","36","330","22","0.00","T","0.0","330","20"
"2008-01-19T23:59:00","1745","18","32","57","30.05","27.75","27","12.2","0","-4.9","33","37","27","340","24","T","0","T","330","21"
"2008-01-20T23:59:00","1746","0","20","45","30.38","28.01","14","13.6","0","-17.0","45","27","12","330","29","0.00","0","0.0","340","22"
"2008-01-21T23:59:00","1747","3","21","46","30.65","28.25","17","4.8","0","-16.0","44","33","9","140","18","0.00","0","0.0","150","15"
"2008-01-22T23:59:00","1748","29","38","77","30.26","27.95","34","5.9","0","0.9","27","47","28","340","16","0.01","0","0.0","330","13"
"2008-01-23T23:59:00","1749","32","40","77","30.04","27.76","36","10.4","0","2.9","25","49","30","320","21","0.00","0","0.0","330","18"
"2008-01-24T23:59:00","1750","20","27","70","30.07","27.72","26","15.6","0","-10.2","38","37","17","330","36","0.00","0","0.0","330","29"
"2008-01-25T23:59:00","1751","4","26","43","30.41","28.05","19","7.1","0","-11.3","39","40","11","350","29","0.00","0","0.0","330","23"
"2008-01-26T23:59:00","1752","18","40","51","30.15","27.84","29","4.4","0","2.6","25","49","30","340","26","0.00","0","0.0","340","22"
"2008-01-27T23:59:00","1753","23","38","61","30.12","27.81","31","11.5","0","0.5","27","46","29","320","31","0.00","0","0.0","330","25"
"2008-01-28T23:59:00","1754","20","41","45","30.14","27.85","34","5.8","0","3.4","24","58","24","360","17","0.00","0","0.0","360","14"
"2008-01-29T23:59:00","1755","30","50","52","29.82","27.60","41","8.9","0","12.3","15","61","39","170","28","0.13","0","0.0","170","23"
"2008-01-30T23:59:00","1756","13","38","41","29.97","27.63","29","14.6","0","0.2","27","50","26","330","39","0.05","0","0.0","330","31"
"2008-01-31T23:59:00","1757","16","32","60","30.30","27.96","26","5.2","0","-5.9","33","44","19","160","21","0.61","0","T","170","17"
"2008-02-01T23:59:00","1758","31","41","84","30.03","27.73","34","6.7","0","3.0","24","50","32","290","22","1.21","0","0.0","330","17"
"2008-02-02T23:59:00","1759","26","43","62","30.20","27.89","35","5.1","0","4.8","22","61","25","180","20","0.00","0","0.0","180","17"
"2008-02-03T23:59:00","1800","31","45","65","30.20","27.91","39","3.6","0","6.7","20","61","29","180","20","0.12","0","0.0","180","16"
"2008-02-04T23:59:00","1801","46","49","92","30.18","27.89","47","3.4","0","10.6","16","57","40","180","15","0.07","0","0.0","180","12"
"2008-02-05T23:59:00","1802","52","60","76","30.05","27.83","56","8.3","0","21.4","5","73","47","180","24","0.01","0","0.0","190","18"
"2008-02-06T23:59:00","1803","52","54","83","29.74","27.54","55","11.2","0","15.3","11","63","44","180","32","0.30","0","0.0","190","25"
"2008-02-07T23:59:00","1804","29","45","63","29.86","27.59","36","9.8","0","6.1","20","55","34","330","26","0.00","0","0.0","330","21"
"2008-02-08T23:59:00","1805","29","44","60","29.92","27.63","37","5.4","0","4.9","21","57","31","220","20","0.00","0","0.0","210","15"
"2008-02-09T23:59:00","1806","22","45","48","29.94","27.65","36","6.7","0","5.8","20","61","29","310","33","0.00","0","0.0","320","24"
"2008-02-10T23:59:00","1807","17","43","35","30.08","27.79","34","13.8","0","3.6","22","56","29","290","45","0.00","0","0.0","320","32"
"2008-02-11T23:59:00","1808","12","38","39","30.24","27.92","28","8.2","0","-1.6","27","53","22","330","24","0.00","0","0.0","330","21"
"2008-02-12T23:59:00","1809","32","39","74","30.05","27.79","37","4.7","0","-0.8","26","50","27","180","20","T","0","0.0","180","16"
"2008-02-13T23:59:00","1810","32","36","86","29.69","27.42","35","16.3","0","-3.9","29","49","22","330","38","0.19","0","0.0","350","30"
"2008-02-14T23:59:00","1811","19","36","59","30.17","27.81","29","8.3","0","-4.1","29","52","20","330","33","0.00","0","0.0","340","28"
"2008-02-15T23:59:00","1812","29","44","57","30.22","27.91","38","6.9","0","3.7","21","61","26","330","18","0.00","0","0.0","330","16"
"2008-02-16T23:59:00","1813","39","51","63","30.16","27.89","45","4.0","0","10.5","14","63","39","110","15","0.00","0","0.0","330","14"
"2008-02-17T23:59:00","1814","44","48","94","29.92","27.71","45","8.1","0","7.3","17","56","40","160","21","1.28","0","0.0","160","14"
"2008-02-18T23:59:00","1815","36","46","71","29.76","27.48","41","9.3","0","5.1","19","56","36","340","29","0.00","0","0.0","340","24"
"2008-02-19T23:59:00","1816","16","38","42","30.04","27.74","30","9.6","0","-3.1","27","46","29","260","32","0.00","0","0.0","290","23"
"2008-02-20T23:59:00","1817","25","42","52","30.08","27.78","35","7.9","0","0.7","23","58","26","310","33","0.00","0","0.0","300","23"
"2008-02-21T23:59:00","1818","29","36","80","30.19","27.89","33","8.0","0","-5.6","29","40","31","150","21","0.04","0","0.0","150","16"
"2008-02-22T23:59:00","1819","39","44","95","29.92","27.65","40","4.1","0","2.2","21","56","32","150","14","0.02","0","0.0","170","10"
