"DATE","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather"
"2012-01-01T23:59:00","1728","32","48","66","30.05","27.76","38","7.5","0","10.9","17","67","28","320","32","0.00","0","0.0","330","24"
"2012-01-02T23:59:00","1729","12","29","48","30.04","27.73","25","17.3","0","-8.0","36","39","19","340","38","T","0","T","330","32"
"2012-01-03T23:59:00","1730","7","22","57","30.25","27.87","17","15.2","0","-15.0","43","26","17","330","40","T","T","T","330","31"
"2012-01-04T23:59:00","1731","9","30","48","30.23","27.90","23","3.4","0","-6.9","35","46","13","330","14","0.00","T","0.0","330","12"
"2012-01-05T23:59:00","1732","23","41","54","30.09","27.78","33","7.1","0","4.1","24","53","28","340","24","0.00","0","0.0","330","20"
"2012-01-06T23:59:00","1732","23","45","58","30.07","27.78","33","2.1","0","8.2","20","64","25","340","16","0.00","0","0.0","340","14"
"2012-01-07T23:59:00","1733","37","45","77","30.03","27.74","41","1.1","0","8.2","20","62","28","340","15","0.08","0","0.0","340","13"
"2012-01-10T23:59:00","1736","45","48","86","30.02","27.76","47","4.6","0","11.3","17","53","42","330","30","0.01","0","0.0","330","15"
"2012-01-11T23:59:00","1737","46","48","93","29.65","27.45","47","6.1","0","11.3","17","54","42","210","20","1.56","0","0.0","200","16"
"2012-01-12T23:59:00","1738","36","41","80","29.58","27.32","40","8.4","0","4.3","24","55","26","300","45","0.02","0","0.0","320","24"
"2012-01-13T23:59:00","1739","14","27","60","29.92","27.58","22","12.4","0","-9.7","38","30","23","320","33","0.00","0","0.0","330","20"
"2012-01-14T23:59:00","1740","16","32","52","30.11","27.78","27","5.9","0","-4.8","33","42","22","200","23","T","0","T","200","16"
"2012-01-15T23:59:00","1741","24","36","65","30.34","27.97","31","8.6","0","-0.8","29","44","27","340","28","0.00","0","0.0","340","21"
"2012-01-16T23:59:00","1742","24","35","61","30.43","28.10","31","12.2","0","-1.8","30","46","24","180","31","0.00","0","0.0","180","23"
"2012-01-17T23:59:00","1743","43","51","78","30.06","27.83","47","12.7","0","14.2","14","59","43","190","32","0.35","0","0.0","190","23"
"2012-01-18T23:59:00","1744","24","39","65","30.04","27.74","31","16.0","0","2.1","26","49","29","340","39","0.03","0","0.0","340","28"
"2012-01-19T23:59:00","1745","22","33","68","30.10","27.78","29","4.1","0","-3.9","32","43","22","180","18","0.00","0","0.0","180","15"
"2012-01-20T23:59:00","1746","34","42","77","30.07","27.76","38","5.0","0","5.0","23","56","28","030","21","0.10","0","0.0","160","13"
"2012-01-21T23:59:00","1747","46","48","95","29.94","27.66","46","4.1","0","11.0","17","54","41","340","25","0.33","0","0.0","360","17"
"2012-01-22T23:59:00","1748","40","42","94","30.20","27.89","41","7.6","0","4.9","23","47","37","040","20","0.01","0","0.0","170","13"
