"DATE","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather"
"2013-01-01T23:59:00","1728","34","41","79","30.02","27.75","38","3.1","0","3.9","24","44","37","340","18","0.29","0","0.0","340","15"
"2013-01-02T23:59:00","1729","35","41","82","30.04","27.73","38","9.2","0","4.0","24","45","37","340","26","0.03","0","0.0","340","21"
"2013-01-03T23:59:00","1730","30","35","80","30.18","27.86","34","10.0","0","-2.0","30","41","29","340","24","0.00","0","0.0","340","18"
"2013-01-04T23:59:00","1731","20","35","62","30.32","27.98","28","11.9","0","-1.9","30","42","27","340","30","0.00","0","0.0","340","22"
"2013-01-05T23:59:00","1732","21","36","55","30.30","27.99","31","6.1","0","-0.9","29","48","24","340","22","T","0","0.0","340","17"
"2013-01-06T23:59:00","1732","32","42","70","30.14","27.84","37","11.0","0","5.2","23","48","36","340","31","0.00","0","0.0","350","24"
"2013-01-09T23:59:00","1735","44","47","89","30.41","28.09","46","3.8","0","10.2","18","50","43","360","13","T","0","0.0","340","10"
"2013-01-10T23:59:00","1736","47","52","82","30.42","28.14","49","3.7","0","15.3","13","63","41","160","20","0.01","0","0.0","160","14"
"2013-01-11T23:59:00","1737","51","53","97","30.20","27.94","51","6.6","0","16.3","12","58","47","180","16","0.51","0","0.0","170","13"
"2013-01-12T23:59:00","1738","56","62","89","30.11","27.86","58","4.6","0","25.3","3","70","53","190","15","T","0","0.0","190","12"
"2013-01-13T23:59:00","1739","55","61","81","30.05","27.81","58","8.5","0","24.3","4","68","53","190","26","0.07","0","0.0","200","21"
"2013-01-14T23:59:00","1740","53","53","97","30.08","27.81","53","8.9","0","16.2","12","60","45","340","30","1.01","0","0.0","330","25"
"2013-01-15T23:59:00","1741","48","49","97","30.07","27.81","48","5.8","0","12.2","16","53","45","170","17","1.20","0","0.0","180","13"
"2013-01-16T23:59:00","1742","50","51","95","29.97","27.71","50","3.7","0","14.2","14","56","45","330","16","0.36","0","0.0","330","13"
"2013-01-17T23:59:00","1743","41","43","95","29.95","27.65","42","13.1","0","6.2","22","52","33","330","35","2.23","0","0.0","340","26"
"2013-01-18T23:59:00","1744","22","39","62","30.41","28.06","31","6.8","0","2.1","26","49","29","340","26","0.00","0","0.0","340","21"
