"DATE","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather"
"2018-01-01T23:59:00","1728","3","17","57","30.46","28.06","13","15.1","0","-20.1","48","21","12","320","30","0.00","0","T","330","23"
"2018-01-02T23:59:00","1729","0","21","46","30.49","28.12","14","7.2","0","-16.0","44","33","8","330","33","0.00","0","0.0","330","28"
"2018-01-03T23:59:00","1730","5","25","47","30.12","27.82","19","5.4","0","-12.0","40","36","13","340","21","0.00","0","0.0","340","17"
"2018-01-04T23:59:00","1731","4","19","52","29.97","27.61","15","20.0","0","-17.9","46","24","13","330","43","T","0","T","340","32"
"2018-01-05T23:59:00","1732","0","19","50","30.24","27.84","13","11.3","0","-17.9","46","26","11","340","29","0.00","0","0.0","340","18"
"2018-01-06T23:59:00","1732","-2","19","43","30.45","28.04","13","10.9","0","-17.8","46","27","10","330","23","0.00","0","0.0","340","18"
"2018-01-07T23:59:00","1733","1","19","47","30.50","28.12","15","4.9","0","-17.8","46","32","6","150","14","0.00","0","0.0","140","10"
"2018-01-08T23:59:00","1734","28","35","75","30.25","27.93","34","7.2","0","-1.8","30","47","23","180","22","T","0","0.0","170","16"
"2018-01-09T23:59:00","1735","39","46","77","30.24","27.93","43","4.0","0","9.2","19","62","29","340","14","0.00","0","0.0","340","12"
"2018-01-10T23:59:00","1736","42","46","83","30.30","28.00","44","4.0","0","9.3","19","53","38","160","16","T","0","0.0","160","13"
"2018-01-11T23:59:00","1737","50","51","96","30.11","27.88","50","7.2","0","14.3","14","58","44","180","17","1.71","0","0.0","150","12"
"2018-01-12T23:59:00","1738","52","47","91","29.70","27.49","53","9.0","0","10.3","18","61","33","330","43","0.69","0","0.0","340","32"
"2018-01-13T23:59:00","1739","17","26","70","30.13","27.75","22","21.6","0","-10.7","39","33","18","340","44","0.00","0","0.0","340","36"
"2018-01-14T23:59:00","1740","9","24","57","30.48","28.09","19","7.8","0","-12.8","41","33","15","340","27","0.00","0","0.0","340","20"
"2018-01-15T23:59:00","1741","15","29","63","30.43","28.07","23","4.4","0","-7.8","36","40","18","160","14","0.00","0","0.0","150","10"
"2018-01-16T23:59:00","1742","22","34","69","30.34","28.01","28","7.1","0","-2.8","31","47","20","340","35","T","0","0.1","340","26"
"2018-01-17T23:59:00","1743","9","17","70","30.31","27.94","15","19.8","0","-19.8","48","24","10","340","43","0.08","1","2.0","340","38"
"2018-01-18T23:59:00","1744","6","23","49","30.35","27.98","18","16.6","0","-13.9","42","36","9","340","39","0.00","1","0.0","340","28"
"2018-01-19T23:59:00","1745","10","37","41","30.22","27.91","26","7.0","0","0.1","28","51","23","340","29","0.00","1","0.0","330","24"
"2018-01-20T23:59:00","1746","30","42","63","30.21","27.89","37","8.1","0","5.0","23","59","24","340","31","0.00","T","0.0","350","22"
"2018-01-21T23:59:00","1747","36","46","76","30.23","27.94","40","1.1","0","9.0","19","64","28","170","10","0.00","0","0.0","170","8"
"2018-01-22T23:59:00","1748","41","46","87","30.08","27.83","43","3.6","0","8.9","19","58","33","170","20","0.75","0","0.0","170","16"
"2018-01-23T23:59:00","1749","35","47","59","29.84","27.58","43","13.3","0","9.9","18","56","38","330","33","0.05","0","0.0","330","25"
"2018-01-24T23:59:00","1750","25","38","61","30.17","27.84","33","12.1","0","0.8","27","45","31","330","35","0.00","0","0.0","330","28"
"2018-01-25T23:59:00","1751","21","40","55","30.46","28.10","31","8.3","0","2.7","25","50","29","320","25","0.00","0","0.0","340","18"
"2018-01-26T23:59:00","1752","21","39","56","30.59","28.25","31","4.2","0","1.6","26","53","24","170","19","0.00","0","0.0","160","15"
"2018-01-27T23:59:00","1753","37","44","79","30.44","28.16","42","2.4","0","6.5","21","50","38","110","11","0.24","0","0.0","170","8"
"2018-01-28T23:59:00","1754","47","50","94","30.19","27.92","48","3.9","0","12.4","15","54","46","350","18","0.45","0","0.0","340","14"
"2018-01-29T23:59:00","1755","32","41","66","30.05","27.78","39","12.3","0","3.3","24","49","33","330","36","0.07","0","T","340","29"
"2018-01-30T23:59:00","1756","15","29","57","30.26","27.91","25","15.7","0","-8.8","36","35","23","340","40","T","T","T","340","32"
"2018-01-31T23:59:00","1757","16","34","52","30.24","27.92","27","6.2","0","-3.9","31","49","19","180","20","0.00","0","0.0","190","16"
"2018-02-01T23:59:00","1758","30","44","63","30.06","27.78","37","7.7","0","6.0","21","60","27","360","36","0.08","0","0.0","350","25"
"2018-02-02T23:59:00","1759","16","28","61","30.27","27.91","25","13.7","0","-10.2","37","36","20","350","35","0.01","0","T","340","26"
"2018-02-03T23:59:00","1800","10","30","47","30.37","28.03","23","7.3","0","-8.3","35","40","19","140","19","0.00","0","0.0","120","14"
"2018-02-04T23:59:00","1801","30","37","82","29.98","27.71","35","7.0","0","-1.4","28","45","29","330","27","0.88","0","T","340","22"
"2018-02-05T23:59:00","1802","25","38","65","30.12","27.79","32","11.1","0","-0.6","27","47","29","330","35","0.00","0","0.0","340","26"
"2018-02-06T23:59:00","1803","35","42","71","30.28","27.96","40","4.5","0","3.3","23","54","29","340","16","0.01","0","0.0","340","13"
"2018-02-07T23:59:00","1804","44","49","86","30.10","27.84","46","9.3","0","10.1","16","61","36","340","34","1.20","0","0.0","340","29"
"2018-02-08T23:59:00","1805","25","41","62","30.36","28.02","33","10.4","0","1.9","24","52","30","340","31","0.00","0","0.0","340","25"
"2018-02-09T23:59:00","1806","27","42","60","30.37","28.07","36","4.1","0","2.8","23","57","26","160","22","0.00","0","0.0","180","17"
"2018-02-10T23:59:00","1807","48","51","93","30.13","27.88","49","4.0","0","11.6","14","57","44","140","16","1.21","0","0.0","170","13"
"2018-02-11T23:59:00","1808","58","61","90","29.98","27.73","59","10.0","0","21.4","4","64","57","200","40","1.02","0","0.0","200","29"
"2018-02-12T23:59:00","1809","49","52","85","30.27","27.96","51","8.8","0","12.2","13","58","46","350","28","0.14","0","0.0","330","22"
"2018-02-13T23:59:00","1810","36","44","76","30.58","28.25","40","6.6","0","4.1","21","49","39","130","20","0.05","0","0.0","170","14"
